id,service_name,full_address,address_key,County,x,y,Type
85,Brooklodge Nursing Home,"Brooklodge Nursing Home, Ballyglunin, Tuam, Co. Galway, Galway", Ballyglunin,Galway,147078.0827,242441.9164,NursingHome
86,Brookvale Manor,"Brookvale Manor Private Nursing Home, Hazelhill, Ballyhaunis, Co. Mayo, Mayo", Hazelhill,Mayo,148477.3115,279094.2429,NursingHome
87,Brymore House,"Brymore House Nursing Home, Thormanby Road, Howth, Co. Dublin, Co. Dublin", Thormanby Road,Dublin,329420.1606,238107.2359,NursingHome
88,Buncrana Community Hospital,"HSE, BUNCRANA NURSING HOME, MAGINN AVENUE, BUNCRANA, CO. DONEGAL", MAGINN AVENUE,Donegal,235099.8234,432034.4127,NursingHome
89,Bushmount Nursing Home,"Bushmount Nursing Home, Bushmount, Clonakilty, Co. Cork, Cork", Bushmount,Cork,137731.4999,41239.24195,NursingHome
90,Bushy Park Nursing Home,"Bushy Park Nursing Home, Bushy Park, Borrisokane, Co. Tipperay, Tipperary", Bushy Park,Tipperary,191081.376,193109.1871,NursingHome
91,Caherass Nursing Home,"Caherass Nursing Home, Caherass Cross, Croom, Co. Limerick, Limerick", Caherass Cross,Limerick,151337.5606,141153.6432,NursingHome
92,Cahercalla Community Hospital,"Cahercalla Community Hospital, Cahercalla  Road, Ennis, Co. Clare, Clare", Cahercalla  Road,Clare,132283.1242,176094.2809,NursingHome
93,Caherciveen Community Hospital,"Caherciveen Community Hospital, Valentia Road, Caherciveen, Co. Kerry, Kerry", Valentia Road,Kerry,46365.09214,78989.01833,NursingHome
94,Cahereen Care Centre,"Cahereen Care Centre, Codrum, Macroom, Co. Cork, Cork", Codrum,Cork,131467.3731,73138.02027,NursingHome
95,Cahermoyle House Nursing Home,"Cahermoyle House Nursing Home, Ardagh, Co. Limerick, Limerick", Ardagh,Limerick,127886.7366,138652.7058,NursingHome
96,Cairn Hill Nursing Home,"Cairn Hill Nursing Home, Westminster Road, Foxrock, Dublin 18, Dublin 18", Westminster Road,Dublin,321820.6345,225899.4861,NursingHome
97,Cairn Hill Nursing Home ,"Millers Wood Lodge, Herbert Road, Bray, Co. Wicklow", Herbert Road,Wicklow,325392.438,217998.969,NursingHome
98,Caiseal Geal Nursing Home,"Caiseal Geal Nursing Home, Castlegar, Galway City, Galway", Castlegar,Galway,132159.6443,228159.0344,NursingHome
99,Cara Care Centre,"Cara Care Centre, Northwood Park, Santry, Dublin 9, Dublin 9", Northwood Park,Dublin,315818.801,240622.4567,NursingHome
100,Cara House,"Cara House, Market Street, Skibbereen, Co Cork, Cork", Market Street,Cork,112342.33,33542.247,NursingHome
101,Carechoice Ballynoe,"Carechoice Ballynoe, White's Cross, Co. Cork, Cork", White's Cross,Cork,168820.1616,76788.58297,NursingHome
102,Carechoice Clonakilty,"Carechoice Clonakilty, Clogheen, Clonakilty, Co. Cork, Cork", Clogheen,Cork,137347.3625,40941.58338,NursingHome
103,Carechoice Dungarvan,"Carechoice Dungarvan, The Burgery, Dungarvan, Co. Waterford, Waterford", The Burgery,Waterford,260700.0994,112615.0896,NursingHome
104,Carechoice Macroom,"Carechoice Macroom, Gurteenroe, Macroom, Co. Cork, Cork", Gurteenroe,Cork,132880.059,73201.38279,NursingHome
105,Carechoice Montenotte,"Carechoice Montenotte, Middle Glanmire Road, Montenotte, Cork, Cork", Middle Glanmire Road,Cork,169568.1418,72769.03989,NursingHome
106,Carlford Nursing Home,"Carlford Nursng Home, Cloughban, Clonroche, Enniscorthy, Co. Wexford Wexford", Cloughban,Wexford,286957.9947,134971.3336,NursingHome
107,Carlingford Nursing Home,"Carlingford Nursing Home, Old Dundalk Road, Carlingford, Co. Louth, Louth", Old Dundalk Road,Louth,319143.8051,310750.9838,NursingHome
108,Carndonagh Community Hospital,"Carndonagh Community Hospital, Convent Road, Carndonagh, Co. Donegal, Donegal", Convent Road,Donegal,246965.154,445169.8874,NursingHome
109,Carrigoran House,"Carrigoran House, Newmarket-on-Fergus, Co. Clare, Clare", Newmarket-on-Fergus,Clare,138537.2673,167108.456,NursingHome
110,Carthage Nursing Home,"Carthage Nursing Home, Mucklagh, Tullamore, Co. Offaly, Offaly", Mucklagh,Offaly,233873.874,225170.4215,NursingHome
111,Carysfort Nursing Home,"Arkendale Road, Glenageary, Co. Dublin, A96w566", Glenageary,Dublin,325502.8716,227197.1279,NursingHome
112,Castle Gardens Nursing Home,"Castle Gardens Nursing Home, Drumgoold, Enniscorthy, Wexford, Wexford", Drumgoold,Wexford,299105.3856,138802.2218,NursingHome
113,Castlecomer District Hospital,"Castlecomer District Hospital, Castlecomer, Co. Kilkenny, Kilkenny", Castlecomer,Kilkenny,253251.8102,172957.5006,NursingHome
114,Castlemanor Nursing Home,"Castlemanor Nursing Home, Billis, Drumalee, Co. Cavan, Cavan", Billis,Cavan,243072.5929,305693.3702,NursingHome
115,Castleross Nursing and Convelescent Centre,"Castleross Nursing and Convalescent Centre, Castleross, Carrickmacross, Co. Monaghan, Monaghan", Castleross,Monaghan,267070.5924,333647.2629,NursingHome
116,Castletownbere Community Hospital,"Castsletownbere Community Hospital, Castletownbere, Co. Cork, Cork", Castletownbere,Cork,67771.90658,46498.3437,NursingHome
117,Castleturvin House Nursing Home,"Castleturvin House Nursing Home, Athenry, Co. Galway, Galway", Athenry,Galway,149134.7737,225617.078,NursingHome
118,Catherine McAuley House,"Catherine McAuley House, Old Dominic Street, Limerick, Limerick", Old Dominic Street,Limerick,157641.362,156711.1415,NursingHome
119,Catherine McAuley House,"Catherine McAuley House, Beaumont Woods, Beaumont, Dublin 9, Dublin 9", Beaumont Woods,Dublin,317800.4456,238897.7353,NursingHome
120,Cedar House Nursing Home,"Cedar House, 35 Mount Anville Park, Dublin 14, D14f240", Mount Anville,Dublin,318606.2346,228367.8109,NursingHome
